0,1,2,3,4,5,6,7,8,9,10,Timestamp,Cumulative_Time
-1.015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:05.417968750,-234.58203125
-0.59765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:04.820312500,-235.1796875
-0.578125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:04.242187500,-235.7578125
-0.53515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:03.707031250,-236.29296875
-0.515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:03.191406250,-236.80859375
-0.47265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:02.718750000,-237.28125
-0.453125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:02.265625000,-237.734375
-0.41015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:01.855468750,-238.14453125
-0.390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:01.464843750,-238.53515625
-0.34765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:01.117187500,-238.8828125
-0.328125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.789062500,-239.2109375
-0.28515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.503906250,-239.49609375
-0.265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.238281250,-239.76171875
-0.22265625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.015625000,-239.984375
-0.203125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.812500000,-240.1875
-0.16015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.652343750,-240.34765625
-0.140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.511718750,-240.48828125
-0.09765625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.414062500,-240.5859375
-0.078125,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.335937500,-240.6640625
-0.03515625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.300781250,-240.69921875
-0.015625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.285156250,-240.71484375
0.00390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.289062500,-240.7109375
0.0234375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.312500000,-240.6875
0.06640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.378906250,-240.62109375
0.0859375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.464843750,-240.53515625
0.12890625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.593750000,-240.40625
0.1484375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.742187500,-240.2578125
0.19140625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:55:59.933593750,-240.06640625
0.2109375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.144531250,-239.85546875
0.25390625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.398437500,-239.6015625
0.2734375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.671875000,-239.328125
0.31640625,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:00.988281250,-239.01171875
0.3359375,0,55636,16,55636,0,0,55636,55636,0,0,2024-11-18 23:56:01.324218750,-238.67578125
